step,reward,win_rate
25,7.508498733108107,0.0
10026,9.170344172297296,0.0
20036,8.893000422297296,0.0
30041,8.659522804054053,0.0
40043,8.364231418918918,0.0
50046,8.16480152027027,0.0
60060,8.270903716216216,0.0
70063,8.286317567567568,0.0
80067,7.952702702702702,0.0
90086,7.633973817567567,0.0
100093,7.814400337837837,0.0
110116,8.52612964527027,0.0
120130,8.571262668918918,0.0
130134,8.381756756756756,0.0
140149,8.389463682432432,0.0
150162,8.76024070945946,0.0
160183,8.427206503378379,0.0
170187,9.008129222972972,0.0
180199,8.431007179054053,0.0
190206,8.601879222972974,0.0
200222,8.690772804054056,0.0
210245,9.012088260135133,0.0
220246,8.771431587837837,0.0
230262,8.460831925675674,0.0
240263,8.80832981418919,0.0
250268,8.753378378378377,0.0
260280,8.79471072635135,0.0
270297,8.908994932432432,0.0
280297,9.047402871621621,0.0
290300,8.97339527027027,0.0
300312,8.939294763513514,0.0
310315,9.042863175675675,0.0
320325,8.91870777027027,0.0
330340,9.50168918918919,0.0
340350,9.68454391891892,0.0
350370,9.43507179054054,0.0
360391,9.772804054054053,0.0
370408,9.793179898648647,0.0
380425,9.95777027027027,0.0
390441,10.092483108108107,0.0
400451,10.08277027027027,0.0
410476,10.410578547297298,0.0
420491,10.187922297297296,0.0
430508,10.157622466216216,0.0
440520,11.075485641891891,0.0
450539,11.011296452702702,0.0
460542,10.943412162162161,0.0
470557,11.274229307432432,0.0
480557,10.97096706081081,0.0
490561,11.598711993243242,0.0
500562,11.766469594594595,0.0
510573,11.468063766891891,0.0
520584,11.98221072635135,0.0
530606,12.064769847972972,0.0
540614,11.946157094594593,0.03125
550627,12.090741131756754,0.0
560638,12.42113597972973,0.03125
570638,12.048194679054053,0.0
580654,12.506703969594593,0.0
590664,12.578916807432432,0.0
600669,12.478357263513512,0.0
610681,12.302628800675675,0.0
620701,12.383182010135133,0.0
630728,12.38745777027027,0.0
640731,12.62674197635135,0.0
650744,13.529877533783782,0.0
660744,12.53663429054054,0.0
670757,13.219647381756756,0.0
680765,13.276815878378379,0.03125
690781,14.371516047297295,0.09375
700788,13.869140624999998,0.09375
710814,13.432960304054053,0.0
720837,13.476404138513514,0.03125
730844,13.479201858108107,0.03125
740856,13.55616554054054,0.0625
750882,14.045766469594593,0.0625
760897,14.598342483108107,0.09375
770912,13.758445945945946,0.0625
780913,14.007020692567567,0.03125
790943,13.693517736486484,0.0625
800956,14.302417652027026,0.0625
810981,14.043496621621621,0.09375
820986,14.443940033783782,0.09375
830993,14.53885135135135,0.09375
840996,14.671030405405403,0.1875
851001,14.623205236486486,0.09375
861015,14.13260135135135,0.0625
871034,15.55838260135135,0.1875
881049,15.680479307432432,0.28125
891065,13.50876266891892,0.0625
901089,13.694731841216218,0.0625
911114,14.621885557432432,0.15625
921120,14.979201858108109,0.15625
931124,14.76245777027027,0.09375
941124,15.213999155405405,0.1875
951150,15.960198479729732,0.3125
961175,15.56471706081081,0.1875
971210,15.967219172297298,0.25
981214,16.257231841216214,0.3125
991222,17.05864653716216,0.4375
1001268,15.303262246621621,0.15625
1011294,16.740656672297295,0.375
1021299,15.63988597972973,0.21875
1031320,16.753536739864867,0.375
1041338,16.698902027027028,0.375
1051352,16.91237331081081,0.40625
1061369,17.03637035472973,0.4375
1071372,17.163904138513512,0.4375
1081402,15.817198057432432,0.25
1091425,16.590107685810814,0.34375
1101455,17.200010557432435,0.53125
1111483,17.76805320945946,0.5625
1121489,16.82326858108108,0.46875
1131519,17.37378589527027,0.46875
1141553,16.671716638513516,0.3125
1151578,16.74709670608108,0.40625
1161597,16.54682221283784,0.40625
1171632,16.99683277027027,0.4375
1181658,17.5668285472973,0.53125
1191666,17.461201435810814,0.5
1201683,18.216638513513516,0.65625
1211687,17.132495777027028,0.4375
1221709,18.56440033783784,0.65625
1231716,17.494510135135137,0.5625
1241749,17.719805743243242,0.5625
1251771,18.43623310810811,0.65625
1261796,17.13017314189189,0.46875
1271829,16.848289695945944,0.40625
1281853,18.035525760135137,0.59375
1291876,17.822951858108105,0.5625
1301894,18.683699324324326,0.6875
1311902,18.373258023648653,0.65625
1321907,17.332189611486484,0.46875
1331916,17.505701013513516,0.5625
1341955,17.88186233108108,0.5
1351991,17.982263513513516,0.65625
1362030,18.428631756756758,0.65625
1372043,18.265941722972975,0.59375
1382064,18.65482474662162,0.71875
1392074,17.006651182432435,0.40625
1402088,18.174408783783782,0.59375
1412112,16.755595439189186,0.4375
1422152,18.756651182432435,0.75
1432184,18.180320945945947,0.59375
1442185,18.411739864864863,0.65625
1452226,18.371199324324323,0.65625
1462244,18.103357263513516,0.65625
1472277,19.323585304054056,0.84375
1482277,18.651657516891895,0.71875
1492287,18.107527449324323,0.59375
1502288,18.29075168918919,0.6875
1512295,19.285472972972975,0.84375
1522298,18.61138091216216,0.71875
1532303,18.65603885135135,0.71875
1542310,17.44019214527027,0.5625
1552346,18.533414273648646,0.6875
1562383,18.60546875,0.65625
1572411,17.986644847972975,0.625
1582441,18.763513513513516,0.6875
1592472,18.319995777027025,0.75
1602483,18.682010135135137,0.6875
1612503,18.72608741554054,0.75
1622506,17.092641469594597,0.5
1632549,19.4535472972973,0.875
1642551,18.53563133445946,0.75
1652581,18.596758868243246,0.71875
1662581,18.137035472972975,0.65625
1672587,18.692145270270274,0.71875
1682593,18.508023648648646,0.71875
1692600,16.95090793918919,0.5
1702611,17.991395692567565,0.625
1712617,18.24614653716216,0.625
1722628,18.47677364864865,0.6875
1732659,18.26097972972973,0.6875
1742661,18.88666596283784,0.78125
1752667,18.205658783783786,0.6875
1762692,18.36185599662162,0.6875
1772709,18.71241554054054,0.75
1782745,18.157516891891888,0.625
1792749,18.91258445945946,0.78125
1802767,18.86185599662162,0.78125
1812797,19.42092483108108,0.875
1822804,18.610219594594597,0.71875
1832838,17.798933699324323,0.5625
1842846,18.86597339527027,0.75
1852847,18.81123310810811,0.71875
1862855,18.71875,0.71875
1872866,18.71304898648649,0.6875
1882866,18.481841216216218,0.71875
1892871,18.217535895270274,0.65625
1902897,18.38033150337838,0.71875
1912927,18.35768581081081,0.65625
