step,reward,win_rate
33,1.7497656250000002,0.0
10059,3.9209375,0.0
20092,3.915937499999999,0.0
30236,3.69421875,0.0
40257,4.318671875,0.0
50285,4.809296874999998,0.0
60288,5.724765624999998,0.0
70341,6.085781249999996,0.0
80350,6.216093749999995,0.0
90384,6.239999999999995,0.0
100510,6.603515624999993,0.0
110547,6.120624999999996,0.0
120572,6.735859374999995,0.0
130608,7.202031249999994,0.0
140668,6.598046874999996,0.0
150679,7.003359374999991,0.0
160693,6.630390624999992,0.0
170697,6.358437499999994,0.0
180815,7.2848437499999905,0.0
190842,8.062656249999991,0.0
200936,7.57070312499999,0.0
210955,7.584453124999992,0.0
220979,6.59093749999999,0.0
230980,7.28421874999999,0.0
241045,7.921718749999988,0.0
251068,9.052109374999985,0.0
261088,9.154609374999986,0.0
271105,5.825937499999993,0.0
281246,8.859609374999986,0.0
291272,8.079921874999984,0.0
301415,6.82117187499999,0.0
311447,9.92179687499998,0.0
321459,7.239609374999985,0.0
331570,10.107265624999979,0.0
341715,6.430156249999992,0.0
351786,6.92296874999999,0.0
361914,8.865156249999984,0.0
371926,8.132968749999993,0.0
382017,10.628906249999977,0.0
392129,7.260234374999996,0.0
402186,7.925156249999994,0.0
412206,9.56835937499999,0.0
422259,11.087499999999988,0.03125
432294,11.97859374999998,0.03125
442352,13.094609374999973,0.09375
452393,14.64968749999997,0.03125
462551,14.331874999999972,0.03125
472702,13.561484374999978,0.03125
482709,14.76585937499997,0.03125
492815,16.92781249999996,0.0625
502844,14.408124999999975,0.0625
512951,15.10374999999997,0.0625
523014,17.693281249999956,0.09375
533086,17.84992187499996,0.125
543170,16.086249999999964,0.0
553333,15.978046874999958,0.0625
563522,16.936015624999964,0.125
573766,17.23562499999997,0.03125
583987,18.77640624999997,0.375
594000,17.952968749999954,0.03125
604137,19.372968749999963,0.40625
614208,20.545390624999968,0.5
624345,19.58195312499996,0.375
634510,19.29023437499996,0.25
644519,19.516249999999975,0.53125
654639,19.69156249999997,0.46875
664765,20.178203124999968,0.5
