step,reward,win_rate
25,1.3514150943396226,0.0
10031,6.758254716981131,0.0
20034,6.3290094339622645,0.0
30063,5.025943396226415,0.0
40088,4.389150943396226,0.0
50101,4.975235849056604,0.0
60127,5.40683962264151,0.0
70136,5.21933962264151,0.0
80147,4.911556603773585,0.0
90159,3.680424528301887,0.0
100166,4.024764150943396,0.0
110181,3.8738207547169807,0.0
120188,4.423349056603774,0.0
130201,4.620283018867925,0.0
140220,5.40566037735849,0.0
150220,5.021226415094339,0.0
160226,5.6415094339622645,0.0
170232,5.721698113207546,0.0
180247,6.0625,0.0
190255,5.8584905660377355,0.0
200264,5.441037735849056,0.0
210271,4.91627358490566,0.0
220300,3.4198113207547167,0.0
230316,5.724056603773585,0.0
240322,5.286556603773585,0.0
250346,5.878537735849056,0.0
260352,6.2700471698113205,0.0
270366,6.30188679245283,0.0
280392,6.7405660377358485,0.0
290415,6.788915094339623,0.0
300423,7.4834905660377355,0.0
310434,7.528301886792453,0.0
320440,7.272405660377359,0.0
330449,7.411556603773585,0.0
340471,7.60377358490566,0.0
350471,8.01179245283019,0.0
360482,7.008254716981132,0.0
370500,8.00117924528302,0.0
380522,8.022405660377359,0.0
390538,8.17806603773585,0.0
400538,8.06132075471698,0.0
410544,8.20872641509434,0.0
420554,8.597877358490567,0.0
430571,8.663915094339623,0.03125
440591,8.35495283018868,0.0
450607,9.091981132075475,0.03125
460626,8.871462264150942,0.03125
470646,8.652122641509434,0.03125
480649,9.221698113207548,0.0
490661,10.450471698113208,0.09375
500669,9.817216981132077,0.0625
510672,10.205188679245285,0.0625
520681,9.452830188679247,0.0
530696,9.596698113207548,0.03125
540708,10.705188679245285,0.125
550717,11.920990566037737,0.21875
560717,11.004716981132077,0.125
570733,12.106132075471699,0.21875
580746,12.675707547169813,0.3125
590755,12.483490566037737,0.25
600769,13.913915094339623,0.4375
610779,14.965801886792454,0.5
620780,13.240566037735851,0.34375
630783,14.7311320754717,0.46875
640789,13.481132075471699,0.34375
650807,14.729952830188681,0.46875
660821,14.090801886792455,0.40625
670827,15.18867924528302,0.53125
680843,17.22759433962264,0.71875
690854,15.459905660377359,0.53125
700870,13.981132075471699,0.375
710890,13.708726415094343,0.34375
720913,14.392688679245284,0.4375
730914,15.377358490566039,0.53125
740920,15.856132075471699,0.59375
750930,14.14622641509434,0.40625
760935,15.462264150943398,0.53125
770936,15.425707547169813,0.53125
780940,15.593160377358494,0.5625
790944,15.456367924528303,0.53125
800960,15.629716981132077,0.53125
810985,15.760613207547172,0.59375
820991,14.600235849056604,0.5
831012,15.91627358490566,0.59375
841069,14.653301886792455,0.4375
851087,14.77122641509434,0.46875
861095,15.943396226415096,0.5625
871103,16.482311320754718,0.65625
881105,15.549528301886793,0.53125
891128,15.51297169811321,0.53125
901137,16.956367924528305,0.6875
911154,14.143867924528303,0.46875
921168,16.846698113207545,0.6875
931177,14.29245283018868,0.40625
941180,15.563679245283021,0.5625
951198,16.392688679245285,0.625
961218,15.707547169811322,0.5625
971244,16.866745283018865,0.6875
981268,17.372641509433965,0.71875
991272,17.875,0.78125
1001278,15.792452830188681,0.5625
1011285,17.13915094339623,0.6875
1021295,16.360849056603776,0.625
1031299,17.100235849056602,0.71875
1041318,16.465801886792455,0.65625
1051321,16.308962264150942,0.625
1061344,16.797169811320757,0.6875
1071354,16.95754716981132,0.6875
1081374,16.68396226415095,0.65625
1091375,17.6686320754717,0.75
1101393,16.72051886792453,0.65625
1111393,17.882075471698112,0.78125
1121417,15.706367924528303,0.5625
1131434,15.62735849056604,0.53125
1141444,15.740566037735851,0.59375
1151472,15.920990566037737,0.59375
1161480,17.47877358490566,0.75
1171482,16.350235849056606,0.625
1181497,16.696933962264154,0.65625
1191512,14.266509433962266,0.46875
1201523,15.836084905660378,0.5625
1211542,16.121462264150942,0.625
1221542,18.60141509433962,0.84375
1231561,17.402122641509436,0.71875
1241571,16.862028301886795,0.6875
1251573,16.79245283018868,0.65625
1261577,16.610849056603776,0.65625
1271578,15.81485849056604,0.5625
1281585,16.277122641509436,0.65625
1291586,17.525943396226417,0.71875
1301598,18.234669811320757,0.8125
1311599,18.154481132075475,0.8125
1321605,17.909198113207548,0.78125
1331620,17.59433962264151,0.75
1341633,16.386792452830193,0.65625
1351636,17.500000000000004,0.75
1361658,17.85259433962264,0.8125
1371678,17.15448113207547,0.71875
1381697,17.60259433962264,0.75
1391705,18.33254716981132,0.84375
1401721,16.48820754716981,0.65625
1411740,18.22641509433962,0.8125
1421742,17.635613207547173,0.75
1431756,17.485849056603776,0.75
1441784,17.178066037735853,0.71875
1451802,15.88561320754717,0.59375
1461808,17.321933962264154,0.71875
1471829,16.34787735849057,0.59375
1481856,18.132075471698112,0.8125
1491872,16.9563679245283,0.6875
1501887,18.204009433962266,0.8125
1511901,16.630896226415096,0.65625
1521901,17.37735849056604,0.75
1531918,18.24882075471698,0.8125
1541936,17.704009433962266,0.75
1551944,17.74764150943396,0.75
1561961,17.77240566037736,0.78125
1571962,16.204009433962266,0.59375
1581972,17.152122641509436,0.6875
1591976,17.423349056603776,0.71875
1601978,16.317216981132077,0.625
1611980,16.494103773584907,0.65625
1621980,16.92570754716981,0.6875
1631982,17.350235849056606,0.71875
1642008,17.616745283018865,0.75
1652019,17.22877358490566,0.71875
1662019,18.580188679245285,0.84375
1672039,16.0188679245283,0.59375
1682055,17.61674528301887,0.75
1692057,17.860849056603776,0.78125
1702069,17.64504716981132,0.75
1712069,18.49882075471698,0.84375
1722094,18.549528301886795,0.84375
1732104,18.254716981132077,0.84375
1742110,17.830188679245282,0.78125
1752119,17.494103773584907,0.75
1762132,16.360849056603776,0.625
1772146,17.819575471698112,0.78125
1782158,18.57193396226415,0.84375
1792179,16.08254716981132,0.59375
1802199,16.862028301886795,0.6875
1812216,17.255896226415096,0.71875
1822235,17.838443396226417,0.78125
1832240,18.441037735849058,0.84375
1842244,17.529481132075475,0.75
1852249,17.66509433962264,0.75
1862260,17.933962264150942,0.78125
1872264,18.52240566037736,0.84375
1882284,17.859669811320757,0.78125
1892296,17.431603773584907,0.71875
1902314,16.851415094339625,0.65625
1912320,17.659198113207548,0.75
1922333,17.27240566037736,0.71875
1932352,17.63797169811321,0.75
1942354,15.99056603773585,0.59375
1952358,15.674528301886795,0.59375
1962365,17.903301886792455,0.78125
1972408,17.172169811320757,0.6875
1982421,19.01061320754717,0.90625
1992434,15.620283018867926,0.59375
2002445,17.81014150943396,0.78125
2012452,16.862028301886795,0.6875
2022460,17.301886792452834,0.71875
2032481,14.607311320754718,0.5
2042495,18.090801886792455,0.8125
