step,reward,win_rate
35,0.700870751345306,0.0
10061,3.953646964551997,0.0
20112,2.919582002885114,0.0
30134,3.0482073898632,0.0
40147,2.6932492078092585,0.0
50169,2.9516257131742742,0.0
60172,4.25638843077347,0.0
70173,6.581424950564054,0.0
80184,5.8224682313278,0.0
90206,5.905343463312045,0.0
100217,5.217336567605678,0.0
110219,4.586628260948846,0.0
120224,4.463577460451244,0.0
130254,4.819827004587006,0.0
140254,4.961673467485737,0.0
150270,5.020448550149117,0.0
160279,5.225415494926737,0.0
170292,5.849973179987356,0.0
180311,6.407772839811331,0.0
190326,6.5926628904223925,0.0
200332,6.256770090443464,0.0
210332,6.501979717080523,0.0
220364,6.995231406817297,0.0
230391,6.867983489610347,0.0
240410,7.4451000166137185,0.0
250435,6.944085718685165,0.0
260453,7.070735693967193,0.0
270459,7.49530991676932,0.0
280462,7.678188213174273,0.0
290462,7.409598829340638,0.0
300489,8.02651964876167,0.0
310515,7.885704705329356,0.0
320541,8.248706105339082,0.0
330546,7.944781418163252,0.0
340578,8.346617132796293,0.0
350592,8.4389258420319,0.0
360606,8.707740625405215,0.0
370616,8.159089527684129,0.0
380617,8.558507389052778,0.0
390629,8.548040746158584,0.0
400649,8.509482862543763,0.0
410669,8.41519253679331,0.0
420695,8.886196278932186,0.0
430705,9.135970626134597,0.0
440722,9.249249343555501,0.0
450724,9.19291490736839,0.0
460726,8.825470097332081,0.0
470726,9.74005608143154,0.0
480727,9.951323829745858,0.0
490737,9.912579168422594,0.0
500739,9.983256866328455,0.0
510774,9.92083157741183,0.0
520812,9.736961269774381,0.0
530847,10.127617167239372,0.0
540858,10.240632243176222,0.0
550893,10.077865663900418,0.0
560917,10.452585813910144,0.0
570955,10.384083348191135,0.0
581100,10.476961127949952,0.0
591144,11.628851419662546,0.0
601201,11.386098521379026,0.0
611221,11.396395987989504,0.0
621253,10.561338179339025,0.0
631365,11.558575008914687,0.0
641506,11.67678541761217,0.0
651527,12.291574565206828,0.0
661542,12.26350624432703,0.03125
671618,11.616468754052134,0.03125
681655,11.911117617025424,0.0
691689,11.280314465281386,0.0
701798,11.694182716464608,0.0
711800,12.074397550084292,0.0
721902,11.708062389579558,0.0
731992,12.42087665731977,0.0
742128,12.410794839819447,0.0
752207,12.56704053443498,0.0
762232,12.183665421988469,0.0
772266,13.034700385762456,0.0625
782335,12.726600741944381,0.03125
792340,12.434696434939063,0.0
802478,13.348881005251563,0.09375
812513,14.484354739367227,0.21875
822550,12.5329275803942,0.03125
832602,13.675190399296557,0.125
842646,13.319553992560303,0.125
852775,14.056312149491058,0.15625
862848,13.878592716707734,0.1875
872897,13.474723847575214,0.0625
882898,14.584429602405347,0.28125
892964,14.521120443383694,0.21875
902987,13.16536715812209,0.03125
913020,13.715414086812764,0.125
923052,14.428309523713049,0.1875
933126,14.244285235266473,0.15625
943145,14.80537458870916,0.25
953156,15.049946005413645,0.28125
963255,15.009422967048112,0.28125
973345,14.415782880980945,0.125
983370,14.578287085062247,0.1875
993511,15.334626890317043,0.25
1003551,14.562253833311729,0.25
1013598,15.764068223628763,0.4375
